Type,Parent,Corpus,Nom,Mappage Surgenre-COLaF,Mappage Genre-COLaF,Mappage-MotsClef-COLAF,Commentaire
Sous-genre,Non-Professional writing,ICE-GB,Student examination scripts,NonFiction,nonfiction-learningmaterials,Format,
Sous-genre,Correspondance,ICE-GB,Social Letters,NonFiction,,,
Sous-genre,Correspondance,ICE-GB,Business Letters,NonFiction,,,
Genre,Printed,ICE-GB,Academic writing,NonFiction,nonfiction-academic,,
Genre,Printed,ICE-GB,Non-academic writing,NonFiction,,,
Genre,Printed,ICE-GB,Reportage,NonFiction,nonfiction-press,,
Genre,Printed,ICE-GB,Instructional writing,NonFiction,,,
Genre,Printed,ICE-GB,Persuasive writing,NonFiction,,,
Genre,Printed,ICE-GB,Creative writing,Fiction,,,
Sous-genre,Academic writing,ICE-GB,humanities,NonFiction,nonfiction-academic,Matieres Academiques,
Sous-genre,Academic writing,ICE-GB,social sciences,NonFiction,nonfiction-academic,Matieres Academiques,
Sous-genre,Academic writing,ICE-GB,natural sciences,NonFiction,nonfiction-academic,Matieres Academiques,
Sous-genre,Academic writing,ICE-GB,technology,NonFiction,nonfiction-academic,Matieres Academiques,
Sous-genre,Non-academic writing,ICE-GB,humanities,NonFiction,,Matieres Academiques,
Sous-genre,Non-academic writing,ICE-GB,social sciences,NonFiction,,Matieres Academiques,
Sous-genre,Non-academic writing,ICE-GB,natural sciences,NonFiction,,Matieres Academiques,
Sous-genre,Non-academic writing,ICE-GB,technology,NonFiction,,Matieres Academiques,
Sous-genre,Reportage,ICE-GB,press news reports,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Instructional writing,ICE-GB,administrative,NonFiction,nonfiction-administrative,,Formats pour administratifs
Sous-genre,Instructional writing,ICE-GB,regulatory,NonFiction,nonfiction-academic,,Formats pour administratifs
Sous-genre,Instructional writing,ICE-GB,skills/hobbies,NonFiction,,,
Sous-genre,Persuasive writing,ICE-GB,press editorials,NonFiction,nonfiction-press,,
Sous-genre,Creative writing,ICE-GB,novels/stories,Fiction,,Format,
Supergenre,,BNC,WRITTEN,,,,
Supergenre,WRITTEN,BNC,Academic prose,NonFiction,nonfiction-academic,Matieres Academiques,
Genre,Academic prose,BNC,humanities_art,NonFiction,nonfiction-academic,Matieres Academiques,
Genre,Academic prose,BNC,natural sciences,NonFiction,nonfiction-academic,Matieres Academiques,
Genre,Academic prose,BNC,politique law education,NonFiction,nonfiction-academic,Matieres Academiques,
Genre,Academic prose,BNC,Social and Behavioral Sciences,NonFiction,nonfiction-academic,Matieres Academiques,
Genre,Academic prose,BNC,Technology computing engineering,NonFiction,nonfiction-academic,Matieres Academiques,
Genre,WRITTEN,BNC,Admin,NonFiction,nonfiction-administrative,,
Genre,WRITTEN,BNC,Advert,NonFiction,,,
Genre,WRITTEN,BNC,Biography,NonFiction,,,
Genre,WRITTEN,BNC,Commerce,NonFiction,,,
Genre,WRITTEN,BNC,email,Web,nonfiction-interractive,,
Supergenre,WRITTEN,BNC,Non-printed essays,NonFiction,,,
Genre,Non-printed essays,BNC,school essays,NonFiction,nonfiction-learningmaterials,,
Genre,Non-printed essays,BNC,university essays,NonFiction,nonfiction-learningmaterials,,
Supergenre,WRITTEN,BNC,Fiction,Fiction,,,
Genre,Fiction,BNC,Drama,Fiction,fiction-drama,,
Genre,Fiction,BNC,Poetry,Fiction,fiction-poetry,,
Genre,Fiction,BNC,Prose,Fiction,fiction-prose,,
Genre,WRITTEN,BNC,Hansard,NonFiction,nonfiction-administrative,,Hansard/parliament proceedings
Genre,WRITTEN,BNC,institutional documentation,NonFiction,nonfiction-administrative,,Official overmental documents
Genre,WRITTEN,BNC,Instructional,NonFiction,nonfiction-learningmaterials,,
Supergenre,WRITTEN,BNC,Letters,NonFiction,,,Non présent dans les genres mais intéressant
Genre,Letters,BNC,Personal,NonFiction,,,
Genre,Letters,BNC,Professional,NonFiction,,,
Genre,WRITTEN,BNC,Miscellaneous,,,,Répétition miscellaneous intéressant
Genre,WRITTEN,BNC,News Script,NonFiction,nonfiction-press,,
Supergenre,WRITTEN,BNC,newspapers,NonFiction,nonfiction-press,,
Genre,newspapers,BNC,Broadsheet national newspaper,,nonfiction-press,,
Sous-genre,Broadsheet national newspaper,BNC,Art/cultural material,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Broadsheet national newspaper,BNC,Commerce and finance,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Broadsheet national newspaper,BNC,Personal and institutional editorials and letters-to-editor,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Broadsheet national newspaper,BNC,miscellaneous material,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Broadsheet national newspaper,BNC,home and foreign news reportage,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Broadsheet national newspaper,BNC,science material,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Broadsheet national newspaper,BNC,material on lifest-style leisure belief and thought,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Broadsheet national newspaper,BNC,sport material,NonFiction,nonfiction-press,Domaines Presse,
Genre,newspapers,BNC,Regional and local newspapers,NonFiction,nonfiction-press,,
Sous-genre,Regional and local newspapers,BNC,Arts,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Regional and local newspapers,BNC,Commerce and finance,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Regional and local newspapers,BNC,Personal and institutional editorials and letters-to-editor,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Regional and local newspapers,BNC,miscellaneous material,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Regional and local newspapers,BNC,home and foreign news reportage,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Regional and local newspapers,BNC,science material,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Regional and local newspapers,BNC,material on lifest-style leisure belief and thought,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Regional and local newspapers,BNC,sport material,NonFiction,nonfiction-press,Domaines Presse,
Genre,newspapers,BNC,tabloid,NonFiction,nonfiction-press,,
Supergenre,WRITTEN,BNC,Non-academic non-fiction prose,NonFiction,,,
Genre,Non-academic non-fiction prose,BNC,Humanities,NonFiction,,Matieres Academiques,
Genre,Non-academic non-fiction prose,BNC,Medical/Health matters,NonFiction,,Matieres Academiques,
Genre,Non-academic non-fiction prose,BNC,Natural Sciences,NonFiction,,Matieres Academiques,
Genre,Non-academic non-fiction prose,BNC,Politics law education,NonFiction,,Matieres Academiques,
Genre,Non-academic non-fiction prose,BNC,Social and Behavioral Sciences,NonFiction,,Matieres Academiques,
Genre,Non-academic non-fiction prose,BNC,Technology computing engineering,NonFiction,,Matieres Academiques,
Genre,WRITTEN,BNC,Popular lore,NonFiction,,,
Genre,WRITTEN,BNC,Religion,NonFiction,,,
Supergenre,,BNC,SPOKEN,Spoken,,,
Supergenre,SPOKEN,BNC,Broadcast,Spoken,,,
Genre,Broadcast,BNC,Discussion,Spoken,,,TV/radio discussion
Genre,Broadcast,BNC,Documentary,Spoken,,,
Genre,Broadcast,BNC,News,Spoken,,,
Genre,SPOKEN,BNC,Classroom Lesson,Spoken,,,
Genre,SPOKEN,BNC,Medical and Legal Consultations,Spoken,,,
Genre,SPOKEN,BNC,Face-to-face conversations,Spoken,,,
Genre,SPOKEN,BNC,Demonstrations,Spoken,,,
Genre,SPOKEN,BNC,Legal presentations or debates,Spoken,,,
Supergenre,SPOKEN,BNC,interview,Spoken,,,
Genre,interview,BNC,oral history,Spoken,,,
Supergenre,SPOKEN,BNC,Lectures,Spoken,,,
Genre,Lectures,BNC,Commerce,Spoken,,Matieres Academiques,
Genre,Lectures,BNC,Humanities_arts,Spoken,,Matieres Academiques,
Genre,Lectures,BNC,Natural Sciences,Spoken,,Matieres Academiques,
Genre,Lectures,BNC,Politics law education,Spoken,,Matieres Academiques,
Genre,Lectures,BNC,Social and Behavioral Sciences,Spoken,,Matieres Academiques,
Genre,SPOKEN,BNC,Business Meetings,Spoken,,,
Genre,SPOKEN,BNC,Parliament,Spoken,,,
Genre,SPOKEN,BNC,Public Debates,Spoken,,,
Genre,SPOKEN,BNC,Sermon,Spoken,,,
Supergenre,SPOKEN,BNC,Speech,Spoken,,,
Genre,Speech,Biber/Egbert,Scripted,Spoken,,,
Genre,Speech,BNC,Unscripted,Spoken,,,
Genre,SPOKEN,BNC,Sportslive,Spoken,,,
Genre,SPOKEN,BNC,Tutorial,Spoken,,,
Genre,SPOKEN,BNC,Unclassified/Miscellaneous,Spoken,,,
Supergenre,,Biber/Egbert,Narrative,NonFiction,,,
Genre,Narrative,Biber/Egbert,News report/blog,Web,web-blog,Documents web,
Genre,Narrative,Biber/Egbert,Sport report,Web,nonfiction-press,Documents web,
Genre,Narrative,Biber/Egbert,Personal/diary blog,Web,web-blog,Documents web,
Genre,Narrative,Biber/Egbert,Historical article,Web,nonfiction-academic,,
Genre,Narrative,Biber/Egbert,Travel blog,Web,web-blog,Documents web,
Genre,Narrative,Biber/Egbert,Short story,Web,fiction-prose,,
Genre,Narrative,Biber/Egbert,Novel,Fiction,fiction-prose,,
Genre,Narrative,Biber/Egbert,Biographical story/history,Fiction,fiction-prose,,
Genre,Narrative,Biber/Egbert,Magazine article,Web,nonfiction-press,,
Genre,Narrative,Biber/Egbert,Obituary,Web,,,
Genre,Narrative,Biber/Egbert,Memoirs,Web,,,
Genre,Narrative,Biber/Egbert,Other narratives,Web,nonfiction-press,,
Supergenre,,Biber/Egbert,Opinion,Web,,,Genre intéressant pour web?
Genre,Opinion,Biber/Egbert,Opinion blog,Web,,Documents web,
Genre,Opinion,Biber/Egbert,Reviews,Web,nonfiction-press,,peut être mieux en mot clef?
Genre,Opinion,Biber/Egbert,Religious blog/sermon,Web,,,
Genre,Opinion,Biber/Egbert,Advice,Web,,,
Genre,Opinion,Biber/Egbert,Letter to the editor,Web,,,
Genre,Opinion,Biber/Egbert,Self-help,Web,,,
Genre,Opinion,Biber/Egbert,Advertisement,Web,,,
Genre,Opinion,Biber/Egbert,Other opinion,Web,,,
Supergenre,,Biber/Egbert,Informational Description/Explanation,NonFiction,,,
Genre,Informational Description/Explanation,Biber/Egbert,Description of a thing,NonFiction,,,
Genre,Informational Description/Explanation,Biber/Egbert,Informational blog,NonFiction,web-blog,,
Genre,Informational Description/Explanation,Biber/Egbert,Description of a person,NonFiction,,,
Genre,Informational Description/Explanation,Biber/Egbert,Research article,NonFiction,nonfiction-academic,,
Genre,Informational Description/Explanation,Biber/Egbert,Abstract,NonFiction,nonfiction-academic,,
Genre,Informational Description/Explanation,Biber/Egbert,FAQ about information,Web,,Documents web,
Genre,Informational Description/Explanation,Biber/Egbert,Legal terms and conditions,NonFiction,nonfiction-legal,Documents web,
Genre,Informational Description/Explanation,Biber/Egbert,Course materials,NonFiction,nonfiction-learningmaterials,,
Genre,Informational Description/Explanation,Biber/Egbert,Encyclopedia article,NonFiction,nonfiction-reference,Format,
Genre,Informational Description/Explanation,Biber/Egbert,Technical report,NonFiction,,,Dans administratif?
Genre,Informational Description/Explanation,Biber/Egbert,Other informational description/explanation,NonFiction,,,
Supergenre,,Biber/Egbert,Interactive Discussion,Web,,,Genre intéressant pour web?
Genre,Interactive Discussion,Biber/Egbert,Discussion forum,Web,,Documents web,
Genre,Interactive Discussion,Biber/Egbert,Question/answer forum,Web,,Documents web,
Genre,Interactive Discussion,Biber/Egbert,Reader/viewer responses,Web,,Documents web,
Genre,Interactive Discussion,Biber/Egbert,Other interactive discussion,Web,,Documents web,
Supergenre,,Biber/Egbert,How-to/Instructional,Web,,,Genre intéressant pour web?
Genre,How-to/Instructional,Biber/Egbert,How to,Web,,Documents web,
Genre,How-to/Instructional,Biber/Egbert,Recipe,Web,,Documents web,
Genre,How-to/Instructional,Biber/Egbert,Instructions,Web,,Documents web,
Genre,How-to/Instructional,Biber/Egbert,FAQ about how-to,Web,,,
Genre,How-to/Instructional,Biber/Egbert,Technical support,Web,,,
Genre,How-to/Instructional,Biber/Egbert,Other how-to instructional,Web,,,
Supergenre,,Biber/Egbert,Informational Persuasion,Web,,,
Genre,Informational Persuasion,Biber/Egbert,Description with intent to sell,Web,,,
Genre,Informational Persuasion,Biber/Egbert,Persuasive article or essay,Web,,,
Genre,Informational Persuasion,Biber/Egbert,Editorial,Web,,,
Genre,Informational Persuasion,Biber/Egbert,Other informational persuasion,Web,,,
Supergenre,,Biber/Egbert,Lyrical,Spoken,spoken-lyrics,,
Genre,Lyrical,Biber/Egbert,Song lyrics,Spoken,spoken-lyrics,,
Genre,Lyrical,Biber/Egbert,Poem,Spoken,spoken-lyrics,,
Genre,Lyrical,Biber/Egbert,Prayer,Spoken,spoken-lyrics,,
Genre,Lyrical,Biber/Egbert,Other lyrical,Spoken,spoken-lyrics,,
Supergenre,,Biber/Egbert,Spoken,Spoken,spoken,,
Genre,Spoken,Biber/Egbert,Interview,Spoken,spoken-interview,,Genre pour spoken?
Genre,Spoken,Biber/Egbert,Transcript of video/audio,Spoken,spoken-transcript of video/audio,,Genre pour spoken?
Genre,Spoken,Biber/Egbert,Formal speech,Spoken,spoken-transcript of video/audio,,Genre pour spoken?
Genre,Spoken,Biber/Egbert,TV/movie script,Spoken,spoken-tv/movie script,,Genre pour spoken?
Genre,Spoken,Biber/Egbert,Other spoken,Spoken,spoken-other,,Genre pour spoken?
